periodo,so_nombre,so_tipo,item_tipo,preg_numero,preg_item,preg_subitem,respuesta,respuesta_limpia,denominador,prom_subitem,prom_item,pond_componente,pond_indice
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,1,a,NA,Si,1,1,0.5,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,1,b,NA,Parcialmente,0.5,1,0.5,0.5,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,1,c,NA,No,0,1,0.5,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,2,a,NA,No,0,1,0,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,2,b,NA,NA,NA,NA,NA,NA,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,2,c,NA,NA,NA,NA,NA,NA,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,3,i,a,Si,1,1,1,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,3,i,b,Actualizado,1,1,1,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,3,i,c,Si,1,1,1,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,3,ii,a,Si,1,1,1,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,3,ii,b,Actualizado,1,1,1,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,3,ii,c,Si,1,1,1,1,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,4,i,a,No,0,1,0,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,4,i,b,NA,NA,NA,NA,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,4,i,c,NA,NA,NA,NA,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,4,ii,a,No,0,1,0,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,4,ii,b,NA,NA,NA,NA,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,4,ii,c,NA,NA,NA,NA,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,5,a,NA,No,0,1,0,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,5,b,NA,NA,NA,NA,NA,NA,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,5,c,NA,NA,NA,NA,NA,NA,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,6,a,NA,No,0,1,0,0,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,6,b,NA,NA,NA,NA,NA,NA,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,6,c,NA,NA,NA,NA,NA,NA,0.07692307692307693,0.06923076923076923
1° Trimestre 2024,Ministerio de Capital Humano,Administración Central y Desconcentrada,TA,7,a,NA,No,0,1,0,0,0.07692307692307693,0.06923076923076923
