periodo,so_nombre,so_tipo,item_tipo,preg_numero,preg_item,preg_subitem,respuesta,respuesta_limpia,denominador,prom_subitem,prom_item,cant_items,pond_componente,pond_indice
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,1,a,NA,Si,1,1,0.6666666666666666,1,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,1,b,NA,Actualizado,1,1,0.6666666666666666,1,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,1,c,NA,No,0,1,0.6666666666666666,0,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,2,a,NA,Si,1,1,0.6666666666666666,1,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,2,b,NA,Actualizado,1,1,0.6666666666666666,1,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,2,c,NA,No,0,1,0.6666666666666666,0,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,3,i,a,Parcialmente,0.5,1,0.5,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,3,i,b,Actualizado,1,1,1,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,3,i,c,Si,1,1,1,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,3,ii,a,Parcialmente,0.5,1,0.5,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,3,ii,b,Actualizado,1,1,1,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,3,ii,c,Si,1,1,1,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,4,i,a,Parcialmente,0.5,1,0.75,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,4,i,b,Actualizado,1,1,1,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,4,i,c,Si,1,1,1,0.8333333333333334,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,4,ii,a,Si,1,1,0.75,1,12,0.08333333333333333,0.075
2° Trimestre 2024 (Abril - Junio),Administración Nacional de Aviación Civil,Organismos Descentralizados,TA,4,ii,b,Actualizado,1,1,1,1,12,0.08333333333333333,0.075
