periodo,so_tipo,so_nombre,preg_1,preg_2,preg_3,preg_4,preg_5,preg_6,preg_7,preg_8,preg_9,preg_10,preg_11,preg_12,preg_13,preg_14,preg_15,preg_16,preg_17,preg_18,preg_19,preg_20,cant_item_TA,cant_item_TP,pondera_ta_subindice,pondera_tp_subindice_a,pondera_tp_subindice_b,pondera_ta_indice,pondera_tp_indice_a,pondera_tp_indice_b,TA,TP,IT
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional del Teatro,0.3333333333333333,0,0.08333333333333333,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0.6666666666666666,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,4.487179487179486,5.555555555555555,4.594017094017095
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Agencia de Acceso a la Información Pública,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,100,100,99.99999999999997
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional del Cáncer,0.3333333333333333,0,0.08333333333333333,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0,0.3333333333333333,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,5.769230769230768,2.7777777777777777,5.47008547008547
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de Tecnología Industrial,1,0,1,1,0.5,1,1,0,1,0.5833333333333334,1,1,0,0,1,1,1,0,1,0.6666666666666666,11,6,0.09090909090909091,0.08333333333333333,0.5,0.08181818181818182,0.008333333333333333,0.05,82.57575757575758,66.66666666666666,80.98484848484847
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Autoridad de Cuenca Matanza Riachuelo (ACUMAR),0.6666666666666666,0,0.8333333333333334,0.8333333333333334,0.25,0.8333333333333334,0.5,0,1,0.4166666666666667,1,0,0.8333333333333334,0,1,0,0.8333333333333334,0,0.6666666666666666,0.6666666666666666,12,5,0.08333333333333333,0.1,0.5,0.075,0.01,0.05,59.72222222222222,58.33333333333333,59.583333333333336
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Agencia de Planificación (APLA),0.3333333333333333,0,0.8333333333333334,0.5,0,0,0.5,0,0,0,0.8333333333333334,0,0,0,0,0.8333333333333334,0,0,0,0.6666666666666666,10,6,0.1,0.08333333333333333,0.5,0.09,0.008333333333333333,0.05,30.000000000000004,40.27777777777778,31.027777777777782
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Oficina Anticorrupción,0.6666666666666666,1,1,0.8333333333333334,1,1,0.8333333333333334,0,1,0,0.8333333333333334,0,0,0,0,0,0,0,0.8333333333333334,0.6666666666666666,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,68.05555555555554,40.27777777777778,65.27777777777779
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Fundación Miguel Lillo,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.5833333333333334,0,0.5,0.5,0,0.8333333333333334,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,39.743589743589745,0,35.769230769230774
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de Asuntos Indígenas,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,2.564102564102564,0,2.307692307692308
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,"Instituto Nacional de Agricultura Familiar, Campesina e Indígena",0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,2.564102564102564,0,2.307692307692308
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Banco Central de la República Argentina,0.6666666666666666,1,0.9166666666666666,1,0.5,0.6666666666666666,0.8333333333333334,0,1,0.8333333333333334,1,0,0,0,0.6666666666666666,0,0.6666666666666666,0,0.5,0.5,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,64.74358974358974,43.333333333333336,62.60256410256411
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Procuración del Tesoro de la Nación,0.6666666666666666,0,1,0.75,0.5,0.6666666666666666,0.6666666666666666,0,1,0,0.5,0,0,0,0,0,0,0,0,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,47.916666666666664,0,43.125
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Fondo Nacional de las Artes,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,2.564102564102564,25,4.807692307692308
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Agua y Saneamientos Argentinos,0.3333333333333333,0.3333333333333333,0.08333333333333333,0,0,0,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,1,0,0,0,0.6666666666666666,0,0,0,0.6666666666666666,0,12,5,0.08333333333333333,0.1,0.5,0.075,0.01,0.05,35.41666666666667,13.333333333333334,33.20833333333333
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Ministerio de Justicia,1,1,1,0.9166666666666666,0.6666666666666666,1,1,1,1,0.8333333333333334,1,1,1,0,0,0,0,0,0,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,95.51282051282048,33.33333333333333,89.2948717948718
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Administración General de Puertos S.E.,1,1,1,0.75,0,1,0.5,0,0.5,0.8333333333333334,1,1,1,1,1,0,1,0,1,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,79.86111111111113,33.33333333333333,75.20833333333331
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Ministerio de Seguridad,0,1,1,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,1,1,0.5833333333333334,1,1,0,0,0,0,0.3333333333333333,0,0,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,73.7179487179487,36.11111111111111,69.95726495726495
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,"Instituto Nacional de Rehabilitación Psicofísica del Sur ""Dr. Juan Otimio Tesone""",0.3333333333333333,0.3333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,5.769230769230769,0,5.1923076923076925
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Ente Nacional Regulador del Gas,0.6666666666666666,1,0.75,0.8333333333333334,0.5,1,1,1,0.8333333333333334,0,1,0,1,0,0.8333333333333334,0,0.6666666666666666,0,0.8333333333333334,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,73.7179487179487,52.77777777777778,71.62393162393163
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Banco Nacional de Datos Genéticos,0.3333333333333333,0.5,0.5,0.25,0.5,0.6666666666666666,0.3333333333333333,0,1,0,0.5,0,0,0,0,0,0,0,0,0.3333333333333333,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,38.19444444444444,16.666666666666664,36.04166666666666
2° Trimestre 2024 (Abril - Junio),Universidades,Universidad de Buenos Aires,0.6666666666666666,1,0.75,0,0.5,0,0.5,0.6666666666666666,1,0.8333333333333334,0,0,0,0,0,0,0.6666666666666666,0,0,1,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,45.51282051282051,56.666666666666664,46.628205128205124
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de Semillas,0.3333333333333333,0.16666666666666666,1,0.75,0.5,1,0.8333333333333334,0,1,0,0.5,0,0,0,0,0,0,0,0.8333333333333334,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,46.794871794871796,6.944444444444445,42.80982905982905
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,BICE - Fideicomisos,0.3333333333333333,0.16666666666666666,0.08333333333333333,0,0,0,0.3333333333333333,0,0.6666666666666666,0.4166666666666667,0,0,0,0,0.5,0,0,0,0.5,0,12,5,0.08333333333333333,0.1,0.5,0.075,0.01,0.05,16.666666666666664,10,16
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Aerolíneas Argentinas S.A.,1,0.6666666666666666,0.75,0.8333333333333334,0.5,0,0.5,0,0.6666666666666666,0,0.8333333333333334,0,0,0,1,0,1,0,1,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,44.230769230769226,30.000000000000004,42.807692307692314
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Ministerio de Salud,0.6666666666666666,1,1,1,0.8333333333333334,1,0.8333333333333334,0.8333333333333334,1,0.8333333333333334,0.8333333333333334,0,1,0,0,0,0.6666666666666666,0,0,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,83.33333333333333,38.888888888888886,78.88888888888889
2° Trimestre 2024 (Abril - Junio),Administración Central y Desconcentrada,Ministerio de Defensa,1,1,1,0.8333333333333334,1,1,1,1,1,0.8333333333333334,1,1,0,0,0,0,0,0,1,1,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,97.22222222222223,58.333333333333336,93.33333333333331
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Ente Nacional de Obras Hídricas de Saneamiento,0.6666666666666666,0,0,0,0.5,1,0.5,0,1,0.6666666666666666,0.8333333333333334,0,0,0,0,0,0,0,0,0.6666666666666666,11,6,0.09090909090909091,0.08333333333333333,0.5,0.08181818181818182,0.008333333333333333,0.05,46.96969696969697,33.33333333333333,45.60606060606061
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de la Propiedad Industrial,0.3333333333333333,0.6666666666666666,0.5,0,0,0,0,0,1,0.5833333333333334,0.8333333333333334,0,0,0,0,0,0.3333333333333333,0,0,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,32.638888888888886,2.7777777777777777,29.65277777777778
2° Trimestre 2024 (Abril - Junio),Empresas Públicas,Banco de Inversión y Comercio Exterior,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.5,0,0.5,0,1,0.3333333333333333,0.8333333333333334,0,0,0,0.8333333333333334,0,0,0.3333333333333333,0.8333333333333334,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,46.79487179487179,20,44.11538461538462
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de Investigación y Desarrollo Pesquero,0.3333333333333333,0,0.8333333333333334,0,0,0.5,0,0,1,0,0.8333333333333334,0,0,0,0,0,0,0,0.8333333333333334,0.3333333333333333,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,26.923076923076927,23.61111111111111,26.591880341880348
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal",0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0,0.6666666666666666,0.8333333333333334,0,0.8333333333333334,0,0,0,0,0,0.8333333333333334,0,0,0,0,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,40.38461538461538,40.27777777777778,40.37393162393163
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Administración Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbrán,0.6666666666666666,0,0.75,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.25,0.8333333333333334,0,0,0,0,0,0,0,0,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,51.388888888888886,0,46.25
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Agencia Federal de Inteligencia,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,5.555555555555555,0,5
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Dirección Nacional de Migraciones,0.6666666666666666,0.6666666666666666,0,0,0.5,0.5,0.16666666666666666,0,1,0,0.5,0,0,0,0,0,0,0,0,0,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,33.33333333333333,0,30
2° Trimestre 2024 (Abril - Junio),Universidades,Universidad Nacional de Entre Ríos,0.6666666666666666,0.6666666666666666,0.75,0.25,0.5,0.8333333333333334,0.5,0,1,0.6666666666666666,0.5,0,1,0,0,1,0,1,0,0.6666666666666666,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,56.41025641025641,53.333333333333336,56.10256410256411
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Autoridad Regulatoria Nuclear,0.6666666666666666,1,0.8333333333333334,0.5,0,0.3333333333333333,0,0,0.8333333333333334,0,0.5,0,0,0.3333333333333333,0,0.8333333333333334,0,0.6666666666666666,0.5,0.6666666666666666,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,35.89743589743589,52.77777777777778,37.58547008547008
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de Tecnología Agropecuaria,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,1,0.6666666666666666,1,0,0.8333333333333334,0.5,0.5,0,0,0,0,0.8333333333333334,0.5,0,0,0.3333333333333333,11,6,0.09090909090909091,0.08333333333333333,0.5,0.08181818181818182,0.008333333333333333,0.05,67.42424242424242,27.77777777777778,63.45959595959596
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Agencia Nacional de Materiales Controlados,0.6666666666666666,0.6666666666666666,0,0,0.5,0.5,0.3333333333333333,0,0.8333333333333334,0.6666666666666666,0.5,0,0,0,0,0.8333333333333334,0.5,0,0.8333333333333334,0.6666666666666666,12,6,0.08333333333333333,0.08333333333333333,0.5,0.075,0.008333333333333333,0.05,38.88888888888889,51.388888888888886,40.13888888888888
2° Trimestre 2024 (Abril - Junio),Universidades,Universidad Nacional de General Sarmiento,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.16666666666666666,0,0.5,0.3333333333333333,0.5,0.8333333333333334,0.5,0,0,0.6666666666666666,0,0,0,0.5,0,0,0,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,37.82051282051281,5,34.53846153846154
2° Trimestre 2024 (Abril - Junio),Entes del Sector Público Nacional,Comisión Nacional Antidopaje,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,13,5,0.07692307692307693,0.1,0.5,0.06923076923076923,0.01,0.05,35.8974358974359,33.33333333333333,35.641025641025635
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,Instituto Nacional de Asociativismo y Ministerio de Economía Social,0,0.5,0.4166666666666667,0.5833333333333334,0.75,1,0.8333333333333334,0.5,1,0,0.5,0,0,0,1,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,46.794871794871796,8.333333333333332,42.94871794871795
2° Trimestre 2024 (Abril - Junio),Organismos Descentralizados,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0.07692307692307693,0.08333333333333333,0.5,0.06923076923076923,0.008333333333333333,0.05,0,0,0
